track_ID,artist_name,genres,followers,artist_popularity,artist_url,track_name,album_name,release_date,duration_ms,explicit,track_popularity,energy,mode
0,Ariana Grande,pop,98934105,89,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,we can't be friends wait for your love,eternal sunshine,3/8/2024,228639,FALSE,89,0.646,1
1,Ariana Grande,pop,98934105,85,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,the boy is mine,eternal sunshine,3/8/2024,173639,TRUE,85,0.63,0
2,Ariana Grande,pop,98934105,83,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,intro ,eternal sunshine,3/8/2024,92400,TRUE,83,0.362,1
3,Ariana Grande,pop,98934105,80,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,Save Your Tears   - Bonus Track,After Hours (Deluxe),3/20/2020,191013,FALSE,80,0.825,1
4,Ariana Grande,pop,98934105,79,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,yes and?,eternal sunshine,3/8/2024,214994,TRUE,79,0.775,1
5,Ariana Grande,pop,98934105,82,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,One Last Time,My Everything - Deluxe,8/22/2014,197266,FALSE,82,0.593,1
6,Ariana Grande,pop,98934105,78,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,Die For You  - Remix,Starboy (Deluxe),3/14/2023,232857,FALSE,78,0.485,0
7,Ariana Grande,pop,98934105,82,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,7 rings,"thank u, next",2/8/2019,178626,TRUE,82,0.317,0
8,Ariana Grande,pop,98934105,70,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,Dangerous Woman,Dangerous Woman,5/20/2016,235946,FALSE,70,0.602,0
9,Ariana Grande,pop,98934105,70,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,Into You,Dangerous Woman,5/20/2016,244453,FALSE,70,0.734,1
10,Adele,british soul,57782264,84,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY,Easy On Me,30,11/19/2021,224694,FALSE,84,0.366,1
11,Adele,british soul,57782264,79,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY,Set Fire to the Rain,21,1/24/2011,242973,FALSE,79,0.67,0
12,Adele,british soul,57782264,78,https://open.spotify.com/artist/4dpARuHxo51G3z768sgnrY,Someone Like You,21,1/24/2011,285240,FALSE,78,0.319,1
